"Time","Armenian Genocide","Holocaust"
"2004-01-01",2,67
"2004-02-01",2,80
"2004-03-01",2,89
"2004-04-01",4,100
"2004-05-01",2,86
"2004-06-01",1,37
"2004-07-01",1,26
"2004-08-01",1,23
"2004-09-01",1,31
"2004-10-01",1,38
"2004-11-01",2,47
"2004-12-01",2,43
"2005-01-01",2,76
"2005-02-01",2,73
"2005-03-01",3,75
"2005-04-01",5,86
"2005-05-01",3,85
"2005-06-01",2,33
"2005-07-01",1,23
"2005-08-01",1,21
"2005-09-01",1,26
"2005-10-01",2,36
"2005-11-01",2,46
"2005-12-01",2,41
"2006-01-01",1,52
"2006-02-01",2,67
"2006-03-01",2,62
"2006-04-01",5,72
"2006-05-01",2,64
"2006-06-01",1,33
"2006-07-01",1,18
"2006-08-01",1,21
"2006-09-01",1,26
"2006-10-01",3,31
"2006-11-01",2,35
"2006-12-01",2,40
"2007-01-01",2,40
"2007-02-01",2,40
"2007-03-01",2,47
"2007-04-01",3,57
"2007-05-01",2,50
"2007-06-01",1,27
"2007-07-01",1,18
"2007-08-01",1,16
"2007-09-01",1,25
"2007-10-01",6,28
"2007-11-01",2,33
"2007-12-01",1,29
"2008-01-01",1,39
"2008-02-01",1,38
"2008-03-01",1,40
"2008-04-01",3,48
"2008-05-01",1,49
"2008-06-01",1,23
"2008-07-01",1,16
"2008-08-01",1,16
"2008-09-01",1,21
"2008-10-01",1,26
"2008-11-01",1,30
"2008-12-01",1,29
"2009-01-01",1,38
"2009-02-01",1,45
"2009-03-01",2,44
"2009-04-01",4,52
"2009-05-01",2,49
"2009-06-01",1,39
"2009-07-01",1,20
"2009-08-01",1,19
"2009-09-01",1,25
"2009-10-01",1,26
"2009-11-01",1,32
"2009-12-01",1,29
"2010-01-01",1,35
"2010-02-01",1,32
"2010-03-01",3,38
"2010-04-01",3,42
"2010-05-01",1,38
"2010-06-01",1,21
"2010-07-01",1,18
"2010-08-01",1,16
"2010-09-01",1,19
"2010-10-01",1,22
"2010-11-01",1,25
"2010-12-01",1,22
"2011-01-01",1,28
"2011-02-01",1,27
"2011-03-01",1,32
"2011-04-01",3,34
"2011-05-01",1,34
"2011-06-01",1,21
"2011-07-01",1,17
"2011-08-01",1,16
"2011-09-01",1,18
"2011-10-01",1,21
"2011-11-01",1,23
"2011-12-01",2,21
"2012-01-01",2,26
"2012-02-01",1,27
"2012-03-01",2,29
"2012-04-01",4,32
"2012-05-01",2,29
"2012-06-01",1,18
"2012-07-01",1,14
"2012-08-01",1,14
"2012-09-01",1,17
"2012-10-01",1,18
"2012-11-01",1,20
"2012-12-01",1,18
"2013-01-01",1,23
"2013-02-01",1,26
"2013-03-01",1,26
"2013-04-01",3,29
"2013-05-01",1,27
"2013-06-01",1,16
"2013-07-01",1,13
"2013-08-01",1,13
"2013-09-01",1,17
"2013-10-01",1,18
"2013-11-01",1,20
"2013-12-01",1,19
"2014-01-01",1,24
"2014-02-01",1,26
"2014-03-01",1,25
"2014-04-01",4,30
"2014-05-01",1,29
"2014-06-01",1,16
"2014-07-01",1,16
"2014-08-01",1,15
"2014-09-01",1,15
"2014-10-01",1,17
"2014-11-01",1,18
"2014-12-01",1,18
"2015-01-01",1,31
"2015-02-01",2,25
"2015-03-01",2,25
"2015-04-01",17,31
"2015-05-01",2,26
"2015-06-01",1,16
"2015-07-01",1,14
"2015-08-01",1,14
"2015-09-01",2,17
"2015-10-01",1,19
"2015-11-01",1,19
"2015-12-01",1,17
"2016-01-01",1,22
"2016-02-01",1,22
"2016-03-01",1,22
"2016-04-01",4,26
"2016-05-01",2,27
"2016-06-01",2,15
"2016-07-01",1,14
"2016-08-01",1,12
"2016-09-01",1,15
"2016-10-01",1,16
"2016-11-01",1,18
"2016-12-01",1,18
"2017-01-01",1,29
"2017-02-01",1,26
"2017-03-01",1,24
"2017-04-01",6,29
"2017-05-01",2,25
"2017-06-01",1,14
"2017-07-01",1,13
"2017-08-01",1,15
"2017-09-01",1,15
"2017-10-01",1,16
"2017-11-01",1,18
"2017-12-01",1,15
"2018-01-01",1,22
"2018-02-01",1,23
"2018-03-01",1,24
"2018-04-01",3,26
"2018-05-01",1,22
"2018-06-01",1,13
"2018-07-01",1,12
"2018-08-01",1,13
"2018-09-01",1,13
"2018-10-01",1,17
"2018-11-01",1,17
"2018-12-01",1,15
"2019-01-01",1,28
"2019-02-01",1,21
"2019-03-01",1,21
"2019-04-01",3,21
"2019-05-01",1,24
"2019-06-01",1,14
"2019-07-01",1,13
"2019-08-01",1,12
"2019-09-01",1,13
"2019-10-01",2,14
"2019-11-01",1,18
"2019-12-01",1,16
"2020-01-01",1,26
"2020-02-01",1,20
"2020-03-01",1,16
"2020-04-01",2,18
"2020-05-01",1,15
"2020-06-01",1,12
"2020-07-01",1,11
"2020-08-01",1,9
"2020-09-01",1,12
"2020-10-01",1,12
"2020-11-01",1,12
"2020-12-01",0,10
"2021-01-01",0,18
"2021-02-01",0,14
"2021-03-01",1,12
"2021-04-01",4,16
"2021-05-01",1,15
"2021-06-01",0,11
"2021-07-01",0,10
"2021-08-01",0,9
"2021-09-01",0,10
"2021-10-01",0,11
"2021-11-01",0,10
"2021-12-01",0,10
"2022-01-01",0,21
"2022-02-01",1,23
"2022-03-01",1,18
"2022-04-01",2,20
"2022-05-01",1,17
"2022-06-01",1,11
"2022-07-01",0,10
"2022-08-01",0,10
"2022-09-01",1,15
"2022-10-01",1,12
"2022-11-01",0,15
"2022-12-01",0,14
"2023-01-01",1,22
"2023-02-01",1,16
"2023-03-01",1,16
"2023-04-01",1,17
"2023-05-01",1,16
"2023-06-01",0,11
"2023-07-01",0,11
"2023-08-01",0,10
"2023-09-01",1,10
"2023-10-01",1,17
"2023-11-01",1,15
"2023-12-01",1,13
"2024-01-01",1,19
"2024-02-01",1,17
"2024-03-01",1,18
"2024-04-01",2,18
"2024-05-01",1,21
"2024-06-01",1,12
"2024-07-01",0,10
"2024-08-01",0,9
"2024-09-01",0,11
"2024-10-01",1,12
"2024-11-01",1,13
"2024-12-01",1,12
"2025-01-01",1,25
"2025-02-01",1,19
"2025-03-01",1,18
"2025-04-01",2,19
"2025-05-01",1,18
"2025-06-01",1,13
"2025-07-01",1,11
"2025-08-01",1,13
"2025-09-01",1,16
"2025-10-01",1,17
"2025-11-01",1,16
"2025-12-01",1,16
"2026-01-01",1,24
"2026-02-01",2,27
"2026-03-01",1,22
"2026-04-01",1,20
