country_region,direction,model_name,index,value,period,ribbon_low,interval,ribbon_high
EU,export,Actual Data,2015-01-31,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-02-28,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-03-31,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-04-30,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-05-31,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-06-30,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-07-31,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-08-31,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-09-30,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-10-31,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-11-30,NA,YoY,NA,0.5,NA
EU,export,Actual Data,2015-12-31,411617.04821000004,YoY,NA,0.5,NA
EU,export,Actual Data,2016-01-31,414485.4675,YoY,NA,0.5,NA
EU,export,Actual Data,2016-02-29,417671.28175,YoY,NA,0.5,NA
EU,export,Actual Data,2016-03-31,422580.91949999996,YoY,NA,0.5,NA
EU,export,Actual Data,2016-04-30,427902.79738999996,YoY,NA,0.5,NA
EU,export,Actual Data,2016-05-31,431599.47591999994,YoY,NA,0.5,NA
EU,export,Actual Data,2016-06-30,436703.89957999997,YoY,NA,0.5,NA
EU,export,Actual Data,2016-07-31,438979.31505999994,YoY,NA,0.5,NA
EU,export,Actual Data,2016-08-31,449684.80051,YoY,NA,0.5,NA
EU,export,Actual Data,2016-09-30,455188.69113000005,YoY,NA,0.5,NA
EU,export,Actual Data,2016-10-31,458660.82209000003,YoY,NA,0.5,NA
EU,export,Actual Data,2016-11-30,469358.31372,YoY,NA,0.5,NA
EU,export,Actual Data,2016-12-31,477123.6476300001,YoY,NA,0.5,NA
EU,export,Actual Data,2017-01-31,485176.69483000005,YoY,NA,0.5,NA
EU,export,Actual Data,2017-02-28,501930.3638,YoY,NA,0.5,NA
EU,export,Actual Data,2017-03-31,512569.28472,YoY,NA,0.5,NA
EU,export,Actual Data,2017-04-30,522798.23616,YoY,NA,0.5,NA
EU,export,Actual Data,2017-05-31,526050.58817,YoY,NA,0.5,NA
EU,export,Actual Data,2017-06-30,545671.49086,YoY,NA,0.5,NA
EU,export,Actual Data,2017-07-31,560284.31072,YoY,NA,0.5,NA
EU,export,Actual Data,2017-08-31,574309.8501,YoY,NA,0.5,NA
EU,export,Actual Data,2017-09-30,591203.24952,YoY,NA,0.5,NA
EU,export,Actual Data,2017-10-31,607740.39307,YoY,NA,0.5,NA
EU,export,Actual Data,2017-11-30,617716.0306599999,YoY,NA,0.5,NA
EU,export,Actual Data,2017-12-31,628819.63634,YoY,NA,0.5,NA
EU,export,Actual Data,2018-01-31,635208.16446,YoY,NA,0.5,NA
EU,export,Actual Data,2018-02-28,655922.55293,YoY,NA,0.5,NA
EU,export,Actual Data,2018-03-31,657352.5554500001,YoY,NA,0.5,NA
EU,export,Actual Data,2018-04-30,669236.735,YoY,NA,0.5,NA
