year,month,period,trade_code,trade_flow,reporter,partner_iso,partner,commodity_code,commodity,IsQtyEstimated,IsNetWgtEstimated,netweight_kg,trade_value_us,partner_region
2010,10,2010-10-01,M,Import,Armenia,RUS,Russian Federation,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,87326900,22608692.9,EAEU
2010,8,2010-08-01,RX,Re-export,Armenia,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,1495800,374973,Other countries
2010,10,2010-10-01,M,Import,Armenia,IRN,Iran,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,24713200,6067909.08,Middle East
2010,1,2010-01-01,RX,Re-export,Armenia,GEO,Georgia,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,1473700,318231.76,Other countries
2010,11,2010-11-01,RX,Re-export,Armenia,GEO,Georgia,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,2318500,567180,Other countries
2010,8,2010-08-01,M,Import,Armenia,RUS,Russian Federation,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,54620100,14157335.8,EAEU
2010,5,2010-05-01,M,Import,Armenia,IRN,Iran,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,15396860,3816208.3,Middle East
2010,7,2010-07-01,M,Import,Armenia,IRN,Iran,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,7127860,1711766.8,Middle East
2010,11,2010-11-01,M,Import,Armenia,RUS,Russian Federation,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,110721500,28678780.9,EAEU
2010,11,2010-11-01,RX,Re-export,Armenia,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,2327000,577073.7,Other countries
2010,8,2010-08-01,RX,Re-export,Armenia,GEO,Georgia,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,3545300,871560,Other countries
2010,4,2010-04-01,M,Import,Armenia,IRN,Iran,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,10082100,2363980.1,Middle East
2010,3,2010-03-01,RX,Re-export,Armenia,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",FALSE,FALSE,3006000,654107.85,Other countries
